Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-1507.points, 83.17, 0.54
test-1508.points, 0.42, 0.11
test-1509.points, 68.24, 0.22
test-151.points, 92.60, 0.32
test-1510.points, 90.66, 0.29
test-1511.points, 83.56, 0.24
test-1512.points, 68.84, 0.32
test-1513.points, 71.20, 0.24
test-1514.points, 73.09, 0.34
test-1515.points, 60.08, 0.27
test-1516.points, 80.81, 0.14
test-1517.points, 57.65, 0.30
test-1518.points, 83.27, 0.17
test-1519.points, 75.45, 0.26
test-152.points, 62.84, 0.27
test-1520.points, 60.92, 0.29
test-1521.points, 72.00, 0.13
test-1522.points, 95.74, 0.27
test-1523.points, 64.93, 0.21
test-1524.points, 67.00, 0.40
test-1525.points, 71.77, 0.20
test-1526.points, 68.70, 0.19
test-1527.points, 64.39, 0.27
test-1528.points, 83.28, 0.19
test-1529.points, 88.79, 0.07
test-153.points, 65.62, 0.14
test-1530.points, 69.57, 0.21
test-1531.points, 60.84, 0.45
test-1532.points, 78.13, 0.19
test-1533.points, 77.06, 0.35
test-1534.points, 68.14, 0.13
test-1535.points, 59.65, 0.18
test-1536.points, 81.58, 0.39
test-1537.points, 61.83, 0.37
test-1538.points, 69.02, 0.21
test-1539.points, 68.41, 0.34
test-154.points, 69.10, 0.23
test-1540.points, 60.29, 0.30
test-1541.points, 66.56, 0.34
test-1542.points, 80.90, 0.28
test-1543.points, 88.47, 0.11
test-1544.points, 86.61, 0.26
test-1545.points, 73.39, 0.44
test-1546.points, 95.76, 0.29
test-1547.points, 74.54, 0.35
test-1548.points, 83.23, 0.41
test-1549.points, 60.81, 0.32
test-155.points, 61.63, 0.14
test-1550.points, 82.09, 0.20
test-1551.points, 81.58, 0.16
test-1552.points, 72.55, 0.13
test-1553.points, 68.63, 0.29
test-1554.points, 61.12, 0.28
test-1555.points, 68.56, 0.34
test-1556.points, 60.61, 0.17
test-1557.points, 64.69, 0.23
test-1558.points, 82.22, 0.10
test-1559.points, 72.56, 0.52
test-156.points, 81.77, 0.15
test-1560.points, 86.25, 0.13
test-1561.points, 61.23, 0.15
test-1562.points, 60.21, 0.16
test-1563.points, 69.62, 0.29
test-1564.points, 66.36, 0.17
test-1565.points, 81.16, 0.18
test-1566.points, 71.97, 0.23
test-1567.points, 74.44, 0.23
test-1568.points, 74.43, 0.39
test-1569.points, 71.17, 0.41
test-157.points, 70.08, 0.30
test-1570.points, 55.80, 0.17
test-1571.points, 68.81, 0.30
test-1572.points, 81.76, 0.27
test-1573.points, 71.71, 0.10
test-1574.points, 80.96, 0.34
test-1575.points, 80.46, 0.28
test-1576.points, 84.60, 0.20
test-1577.points, 79.97, 0.41
test-1578.points, 91.70, 0.25
test-1579.points, 82.65, 0.32
test-158.points, 88.48, 0.15
test-1580.points, 78.87, 0.20
test-1581.points, 72.00, 0.12
test-1582.points, 64.44, 0.18
test-1583.points, 76.18, 0.41
test-1584.points, 74.41, 0.13
test-1585.points, 79.76, 0.23
test-1586.points, 75.78, 0.20
test-1587.points, 77.48, 0.09
test-1588.points, 64.41, 0.23
test-1589.points, 90.67, 0.15
test-159.points, 56.48, 0.15
test-1590.points, 62.60, 0.21
test-1591.points, 77.11, 0.38
test-1592.points, 79.37, 0.22
